Age,Attrition,BusinessTravel,Department,EmployeeNumber,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction
31,No,Non-Travel,Software,1,Male,42,2,3,Developer,1
38,No,Travel_Rarely,Human Resources,2,Female,66,2,4,Healthcare Representative,3
59,Yes,Non-Travel,Sales,3,Female,96,1,3,Manufacturing Director,2
52,Yes,Travel_Rarely,Support,4,Female,71,2,4,Human Resources,1
32,No,Non-Travel,Human Resources,5,Male,122,3,3,Manager,2
19,Yes,Non-Travel,Hardware,6,Female,195,4,3,Research Director,3
42,Yes,Non-Travel,Support,7,Female,80,3,5,Sales Executive,4
30,No,Travel_Rarely,Support,8,Male,165,1,4,Human Resources,4
41,No,Travel_Frequently,Software,9,Male,134,1,2,Manager,4
45,No,Travel_Frequently,Human Resources,10,Female,137,2,4,Manager,2
36,No,Travel_Rarely,Sales,11,Male,159,3,1,Human Resources,3
23,No,Travel_Frequently,Human Resources,12,Female,51,2,2,Manufacturing Director,2
24,Yes,Non-Travel,Support,13,Female,189,3,1,Manufacturing Director,4
39,Yes,Non-Travel,Research & Development,14,Female,69,4,2,Sales Executive,2
42,Yes,Travel_Rarely,Human Resources,15,Male,127,3,1,Developer,4
44,Yes,Travel_Frequently,Software,16,Female,151,1,5,Sales Representative,4
50,Yes,Travel_Frequently,Research & Development,17,Male,181,2,5,Manager,3
42,No,Travel_Rarely,Software,18,Female,92,4,5,Developer,3
49,No,Travel_Frequently,Research & Development,19,Female,81,2,1,Manager,1
58,Yes,Travel_Rarely,Support,20,Female,66,3,5,Manager,2
42,Yes,Travel_Frequently,Software,21,Female,157,3,1,Research Scientist,3
46,Yes,Travel_Frequently,Hardware,22,Male,162,3,3,Manufacturing Director,3
34,Yes,Travel_Rarely,Support,23,Male,44,1,1,Manager,3
38,No,Travel_Frequently,Research & Development,24,Female,71,3,1,Healthcare Representative,1
22,Yes,Non-Travel,Hardware,25,Male,44,4,5,Manufacturing Director,4
58,Yes,Travel_Frequently,Support,26,Female,69,4,3,Human Resources,4
51,Yes,Travel_Rarely,Sales,27,Male,146,2,4,Developer,2
38,No,Non-Travel,Software,28,Male,83,1,4,Manufacturing Director,2
52,Yes,Non-Travel,Software,29,Female,112,3,2,Developer,2
51,No,Travel_Rarely,Support,30,Female,135,4,1,Manager,4
35,No,Travel_Rarely,Support,31,Male,161,4,5,Research Scientist,2
56,No,Non-Travel,Hardware,32,Female,47,2,5,Sales Representative,2
