Employee ID,MonthlyIncome,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion
6,41552,Yes,15,33,2,4,14
7,5303,No,45,4,4,1,1
8,28555,Yes,35,2,2,2,2
11,10587,Yes,47,38,4,19,8
13,34153,No,17,30,2,3,8
14,47844,No,47,14,2,9,11
18,47968,Yes,41,5,3,1,2
23,30597,No,28,36,1,8,11
27,31621,No,1,18,3,17,4
30,3641,Yes,45,3,3,1,2
36,10478,Yes,32,12,4,8,7
37,40937,No,48,34,3,4,1
39,40831,No,3,39,3,14,7
48,14164,Yes,43,35,3,24,4
49,31062,Yes,17,9,1,1,2
53,1120,Yes,6,28,3,6,2
60,36488,No,9,16,2,10,4
61,8520,Yes,45,18,1,1,1
67,2564,Yes,8,20,3,2,1
73,9472,No,23,40,2,8,8
76,39184,Yes,23,36,4,7,13
78,47785,No,32,24,3,6,7
79,50464,Yes,36,24,4,14,13
81,19147,Yes,23,16,4,6,5
82,34178,No,27,10,4,3,8
83,1893,No,22,22,2,17,6
92,2125,Yes,30,9,1,3,8
102,42582,No,21,7,4,3,3
104,4258,No,36,34,2,12,19
105,46688,No,47,22,2,11,9
112,10932,Yes,3,4,2,2,3
113,16034,No,42,20,1,5,4
127,36320,Yes,24,6,3,1,1
130,34982,No,25,30,2,24,23
132,18056,No,46,34,2,28,3
134,45522,No,17,38,4,6,3
135,31275,No,22,2,1,1,1
142,28438,Yes,5,40,1,4,6
145,1409,Yes,29,3,3,2,1
146,31570,Yes,18,25,2,5,1
148,26448,Yes,28,1,1,1,1
156,33680,No,45,29,3,24,16
159,46478,Yes,16,23,4,8,3
161,47495,No,42,1,1,1,1
170,20865,Yes,41,13,1,6,3
177,4961,No,39,30,2,1,1
178,30553,No,12,39,3,9,22
179,18560,No,46,29,3,11,10
181,28786,No,7,15,2,7,9
183,40955,No,46,38,3,6,8
188,21473,Yes,10,33,2,9,3
204,31908,Yes,1,35,4,2,9
209,6377,Yes,25,4,3,1,1
213,44326,No,19,19,3,16,17
218,13645,No,45,3,1,2,2
220,38526,Yes,46,18,2,5,4
223,28647,Yes,8,31,4,2,5
226,18742,Yes,13,40,2,1,1
231,8450,No,16,37,2,3,1
234,17909,No,28,2,3,1,2
245,42691,Yes,39,34,4,3,6
249,9256,Yes,24,19,2,3,8
251,47834,Yes,24,22,1,4,16
253,29895,No,17,16,2,1,2
258,31940,No,33,25,3,5,3
259,30697,Yes,34,20,1,11,16
265,11270,Yes,23,22,3,9,1
271,13634,No,13,27,3,9,7
281,50347,No,36,24,2,4,3
287,24537,Yes,12,16,3,5,9
302,38658,No,32,36,4,24,22
303,44892,No,39,33,3,3,17
310,29260,No,34,1,3,1,1
312,42436,No,22,25,1,11,2
317,46492,Yes,42,2,4,1,1
318,40922,No,19,36,4,4,5
320,22293,No,48,7,4,2,2
324,1753,Yes,26,3,3,2,1
325,45787,No,41,38,4,3,3
326,31042,No,38,8,2,4,3
329,14571,No,8,37,3,11,3
330,24871,No,33,17,3,1,1
339,27701,No,9,38,1,36,17
346,41937,Yes,41,32,2,3,1
357,2203,No,38,27,2,6,11
373,8150,No,2,29,2,1,6
381,30326,Yes,13,18,1,1,1
384,33868,No,6,16,2,7,8
391,29116,No,44,28,3,12,2
392,32906,Yes,14,1,1,1,1
393,48389,Yes,15,33,1,30,25
394,27213,No,0,14,3,11,11
399,10809,No,8,38,2,15,26
416,23096,Yes,44,7,3,3,1
417,5988,Yes,2,10,1,2,4
422,25700,Yes,28,17,3,2,1
429,17696,Yes,7,39,2,21,17
432,23044,No,39,4,1,1,2
440,38523,No,47,35,2,25,2
441,33527,No,44,38,3,3,2
443,48995,No,41,14,1,2,6
445,18896,Yes,18,14,4,3,1
446,6256,Yes,41,12,2,1,4
449,25170,No,2,2,1,2,1
457,50226,No,32,40,1,18,6
459,45674,Yes,9,14,4,2,1
467,5742,No,29,15,3,5,8
468,12293,No,49,33,4,12,5
470,25360,Yes,30,21,4,10,12
479,19531,No,17,16,1,6,11
483,9273,Yes,46,13,1,5,5
484,45884,Yes,35,2,3,1,1
489,44619,No,37,17,4,6,5
491,41554,No,37,1,3,1,1
497,21424,No,37,2,3,2,2
500,33957,No,46,2,3,1,2
504,50800,Yes,38,9,2,2,4
505,17235,No,42,17,1,2,3
511,22108,Yes,44,4,2,1,1
513,18846,No,33,16,3,2,2
520,35267,No,47,24,2,2,6
524,50999,Yes,41,8,1,3,2
525,16836,No,8,6,4,2,2
526,7328,Yes,34,20,2,12,1
527,25367,No,11,8,4,2,2
528,27272,No,38,16,4,1,2
531,29796,Yes,27,11,1,9,6
532,29022,No,38,37,3,19,10
533,28528,No,17,5,1,2,1
534,30750,Yes,32,39,2,16,4
537,44362,Yes,23,4,3,1,1
540,24621,No,12,4,4,4,1
544,8161,Yes,27,40,3,13,2
545,2714,No,22,6,3,1,2
550,46125,No,12,31,2,1,6
552,5200,No,35,32,4,10,1
557,21521,Yes,28,13,4,3,2
562,23890,No,36,8,1,7,7
565,12953,No,8,8,4,4,4
571,8738,Yes,28,28,1,6,8
578,24698,No,8,16,2,3,4
579,7208,No,28,22,2,3,3
586,35704,Yes,20,13,4,1,1
589,28172,Yes,7,17,2,8,3
590,2971,No,21,37,1,7,16
597,31765,No,34,23,4,13,13
598,2792,No,32,13,3,2,5
609,42948,Yes,24,32,4,16,13
615,15711,No,24,19,4,3,3
617,4737,No,42,20,3,1,2
618,24051,No,40,23,2,7,2
619,23830,Yes,0,11,1,4,5
620,15348,No,41,34,1,1,4
630,28650,Yes,9,19,4,10,9
635,8799,Yes,7,10,3,4,1
637,38025,No,9,23,3,2,5
638,14293,No,12,4,1,2,1
639,10470,No,24,35,3,12,1
642,16170,No,20,36,3,1,9
644,50818,No,19,26,3,18,8
646,2417,Yes,44,21,4,6,5
651,5026,No,39,39,3,14,14
664,28996,Yes,12,20,1,4,1
666,12254,Yes,24,26,4,3,3
671,38011,Yes,24,11,2,5,5
